checkpoint_path,policy_mode,device,stack_mode,mute_mode,action_selection,episodes,mean_total_reward,mean_reward_red,mean_reward_blue,mean_steps,mean_pellets_red_eaten_by_red,mean_pellets_blue_eaten_by_blue,mean_pellets_per_fish,mean_visible_food_count,mean_visible_teammate_count,mean_visible_opponent_count,mean_forward_velocity,mean_lateral_velocity,mean_abs_angular_velocity,mean_motion_command_joint0,mean_motion_command_joint1,std_motion_command_joint0,std_motion_command_joint1,fraction_saturated_motion_commands,mean_abs_desired_activation,mean_abs_activation,mean_abs_applied_torque,mean_joint_limit_occupancy,mean_near_limit_penalty,fraction_near_limit_joints,mean_joint_limit_excess,mean_saturation_penalty,mean_torque_penalty,fraction_joint_limit_high_steps,fraction_joints_quiet_steps,fraction_negative_forward_velocity_steps,mean_joint_velocity_zero_crossings_per_fish,mean_activation_sign_changes_per_fish,mean_nearest_food_distance,mean_capture_distance,mean_message_entropy,token_freq_0,token_freq_1,token_freq_2,token_freq_3
C:\Users\adminlcarreira\SwimmingPolygons\09 Raw Torque Communication School\rllib_checkpoints_v9_day_campaign_limitpressure\a1_initial_lp_early_soft\checkpoint_00060,trained,cuda,new,normal,deterministic,10,73.00719553385946,73.00719553385946,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15904069752645836,0.007782128849842895,0.1337832083220723,0.04145338679935473,-0.022385155210892356,0.6783777316986409,0.8689037578368385,0.5966666666666667,0.7201352447271347,0.5592755750815074,6.711306886672974,0.40805624408026536,0.008106616637669506,0.08666666666666667,0.030225962015489733,0.5966666666666667,0.5592755738894147,0.0,0.0,0.07333333333333333,27.0,27.0,nan,nan,0.0,1.0,0.0,0.0,0.0
C:\Users\adminlcarreira\SwimmingPolygons\09 Raw Torque Communication School\rllib_checkpoints_v9_transfer_campaign\r2_initial_limit_medium\checkpoint_00040,trained,cuda,new,normal,deterministic,10,160.8628458229844,160.8628458229844,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15301457537494084,0.003741716975346208,0.13820681791398087,0.02841495335350434,0.00225301588109384,0.6771607516383846,0.6479716763314791,0.4083333333333333,0.6079828190008799,0.47664187719424567,5.71970253443718,0.3482913989635806,0.00022684725408907976,0.004999999999999999,0.0012312615178525447,0.4083333333333333,0.4766418778697649,0.0,0.0,0.030000000000000006,55.0,55.0,nan,nan,0.0,1.0,0.0,0.0,0.0
C:\Users\adminlcarreira\SwimmingPolygons\09 Raw Torque Communication School\rllib_checkpoints_v9_transfer_campaign\forage_initial_limit_medium\checkpoint_00020,trained,cuda,new,normal,deterministic,10,-11.100000000000277,-5.299999999999585,-5.799999999999561,300.0,0.7,0.2,0.045,12.223600000000001,5.8924,2.061433333333333,0.07996290662399885,-0.0017410715833970625,0.08527195388914537,-0.07242196333174264,0.039134209864282454,0.4914540632047448,0.4180442451237102,0.13604166666666667,0.3708868771710113,0.3015374013789289,3.6184488167385416,0.24191232893130898,4.906151915141284e-08,0.0,1.2595412631829579e-06,0.13604166666666667,0.30153740139487845,0.0,0.17241666666666666,0.16593333333333335,52.28000000000001,41.905,2.1432933807373047,0.4452449679374695,0.88881267496254,0.019833333333333335,0.0157,0.7991166666666667,0.16535
C:\Users\adminlcarreira\SwimmingPolygons\09 Raw Torque Communication School\rllib_checkpoints_v9_transfer_campaign\forage_initial_limit_medium\checkpoint_final,trained,cuda,new,normal,deterministic,10,-12.000000000000679,-5.999999999999561,-5.999999999999561,300.0,0.0,0.0,0.0,12.357800000000001,6.0,2.0,-2.5038037901534574e-06,-0.0007782340803291029,0.003970395871943403,-0.010203965882017411,0.10832281465098544,0.07326118537341311,0.09062246875043287,0.0,0.08533724211180041,0.08319254764560247,0.9983105720437596,0.10521817793915009,2.5203554945013213e-07,0.0,3.611920929203431e-06,0.0,0.08319254767031325,0.0,0.9689499999999999,0.4356833333333333,27.544999999999998,6.485000000000001,2.2028443813323975,nan,1.468641269270939,0.3378833333333333,0.0,0.48595,0.17616666666666667
C:\Users\adminlcarreira\SwimmingPolygons\09 Raw Torque Communication School\rllib_checkpoints_v9_transfer_campaign\forage_continue_limit_medium\checkpoint_00100,trained,cuda,new,normal,deterministic,10,-12.000000000000679,-5.999999999999561,-5.999999999999561,300.0,0.0,0.0,0.0,12.360983333333333,6.0,2.0,-0.00014539186368323206,-0.0008065138097873636,0.0036964409193397953,-0.017421959416428094,-0.013690451124629178,0.06841134025517762,0.05434985407079258,0.0003166666666666667,0.04676842867502588,0.040915628647901756,0.4909875438330113,0.05188982213694108,0.0,0.0,0.0,0.0003166666666666667,0.040915628652750946,0.0,0.9774500000000002,0.6234,48.760000000000005,27.060000000000002,2.202869415283203,nan,1.3258410903712192,0.39593333333333336,0.0002,0.5128833333333334,0.09098333333333333
